2018-04-25T11:22:54.800+0800 I CONTROL  [main] ***** SERVER RESTARTED *****
2018-04-25T11:22:54.850+0800 I CONTROL  [initandlisten] MongoDB starting : pid=37174 port=27017 dbpath=/Users/sunxiuguo/WxMiniPrograms/DataAnalysis/data/mongodb 64-bit host=MacBook-Pro-4.local
2018-04-25T11:22:54.850+0800 I CONTROL  [initandlisten] db version v3.6.3
2018-04-25T11:22:54.851+0800 I CONTROL  [initandlisten] git version: 9586e557d54ef70f9ca4b43c26892cd55257e1a5
2018-04-25T11:22:54.851+0800 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2o  27 Mar 2018
2018-04-25T11:22:54.851+0800 I CONTROL  [initandlisten] allocator: system
2018-04-25T11:22:54.852+0800 I CONTROL  [initandlisten] modules: none
2018-04-25T11:22:54.852+0800 I CONTROL  [initandlisten] build environment:
2018-04-25T11:22:54.852+0800 I CONTROL  [initandlisten]     distarch: x86_64
2018-04-25T11:22:54.852+0800 I CONTROL  [initandlisten]     target_arch: x86_64
2018-04-25T11:22:54.853+0800 I CONTROL  [initandlisten] options: { processManagement: { fork: true }, storage: { dbPath: "data/mongodb", directoryPerDB: true }, systemLog: { destination: "file", logAppend: true, path: "data/logs/youlog.log" } }
2018-04-25T11:22:54.855+0800 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3584M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
2018-04-25T11:22:55.560+0800 I CONTROL  [initandlisten] 
2018-04-25T11:22:55.561+0800 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2018-04-25T11:22:55.561+0800 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2018-04-25T11:22:55.562+0800 I CONTROL  [initandlisten] 
2018-04-25T11:22:55.562+0800 I CONTROL  [initandlisten] ** WARNING: This server is bound to localhost.
2018-04-25T11:22:55.562+0800 I CONTROL  [initandlisten] **          Remote systems will be unable to connect to this server. 
2018-04-25T11:22:55.563+0800 I CONTROL  [initandlisten] **          Start the server with --bind_ip <address> to specify which IP 
2018-04-25T11:22:55.563+0800 I CONTROL  [initandlisten] **          addresses it should serve responses from, or with --bind_ip_all to
2018-04-25T11:22:55.564+0800 I CONTROL  [initandlisten] **          bind to all interfaces. If this behavior is desired, start the
2018-04-25T11:22:55.564+0800 I CONTROL  [initandlisten] **          server with --bind_ip 127.0.0.1 to disable this warning.
2018-04-25T11:22:55.565+0800 I CONTROL  [initandlisten] 
2018-04-25T11:22:55.574+0800 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: 476b6226-2f2e-41f0-8d9e-23a91aba3d4a
2018-04-25T11:22:55.629+0800 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
2018-04-25T11:22:55.640+0800 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: 1cd80622-8802-4d5c-827a-39fbbc56f151
2018-04-25T11:22:55.696+0800 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/Users/sunxiuguo/WxMiniPrograms/DataAnalysis/data/mongodb/diagnostic.data'
2018-04-25T11:22:55.700+0800 I NETWORK  [initandlisten] waiting for connections on port 27017
2018-04-25T11:23:04.562+0800 I NETWORK  [listener] connection accepted from 127.0.0.1:62845 #1 (1 connection now open)
2018-04-25T11:23:04.563+0800 I NETWORK  [conn1] received client metadata from 127.0.0.1:62845 conn: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.6.3" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "17.5.0" } }
2018-04-25T11:23:52.574+0800 I NETWORK  [listener] connection accepted from 127.0.0.1:49702 #2 (2 connections now open)
2018-04-25T11:23:52.581+0800 I NETWORK  [conn2] received client metadata from 127.0.0.1:49702 conn: { driver: { name: "nodejs", version: "3.0.7" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.5.0" }, platform: "Node.js v10.0.0, LE, mongodb-core: 3.0.7" }
2018-04-25T11:23:52.608+0800 I NETWORK  [conn2] end connection 127.0.0.1:49702 (1 connection now open)
2018-04-25T11:27:17.538+0800 I STORAGE  [conn1] createCollection: DataAnalysisBB.interface with generated UUID: 77f8d231-556b-4124-af2d-23d03099914c
2018-04-25T11:27:55.710+0800 I STORAGE  [thread3] createCollection: config.system.sessions with generated UUID: 399f92b9-dc9d-4101-9986-4e5eb31341d9
2018-04-25T11:27:55.810+0800 I INDEX    [thread3] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
2018-04-25T11:27:55.814+0800 I INDEX    [thread3] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
2018-04-25T11:27:55.869+0800 I INDEX    [thread3] build index done.  scanned 0 total records. 0 secs
2018-04-25T11:27:55.872+0800 I COMMAND  [thread3] command config.$cmd command: createIndexes { createIndexes: "system.sessions", indexes: [ { key: { lastUse: 1 }, name: "lsidTTLIndex", expireAfterSeconds: 1800 } ], $db: "config" } numYields:0 reslen:98 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_msg 159ms
2018-04-25T11:30:27.582+0800 I NETWORK  [listener] connection accepted from 127.0.0.1:60270 #3 (2 connections now open)
